ray_x                  ray_y                    Time                     abs_prob
0.03                     -0.185                   6.000000000000001E-9     0.7840077360758673
0.03                     -0.175                   6.000000000000001E-9     0.7676555848421098
0.03                     -0.165                   6.000000000000001E-9     0.7677752302430041
0.03                     -0.155                   6.000000000000001E-9     0.7593826296846417
0.03                     -0.145                   6.000000000000001E-9     0.7170007406145231
0.03                     -0.135                   4.0E-9                   0.6220465747773747
0.03                     -0.125                   3.0000000000000004E-9    0.6013851053148579
0.03                     -0.115                   3.0000000000000004E-9    0.591328229415314
0.03                     -0.105                   6.000000000000001E-9     0.5910556472204382
0.03                     -0.095                   6.000000000000001E-9     0.6736594065192857
0.03                     -0.085                   6.000000000000001E-9     0.766268437431083
0.03                     -0.075                   6.000000000000001E-9     0.7655112560000915
0.03                     -0.065                   6.000000000000001E-9     0.7601250750744907
0.03                     -0.055                   6.000000000000001E-9     0.7659639226035615
0.03                     -0.045                   6.000000000000001E-9     0.759760127405216
0.03                     -0.035                   6.000000000000001E-9     0.6838507877816177
0.03                     -0.025                   6.000000000000001E-9     0.6107353940778815
0.03                     -0.015                   2.0E-9                   0.5880376944374737
0.03                     -0.005                   2.0E-9                   0.5927155012182699
0.03                     0.005                    2.0E-9                   0.5880208394469919
0.03                     0.015                    2.0E-9                   0.5880373208692953
0.03                     0.025                    6.000000000000001E-9     0.6113038370920809
0.03                     0.035                    6.000000000000001E-9     0.6865425088079706
0.03                     0.045                    6.000000000000001E-9     0.7620200744097353
0.03                     0.055                    6.000000000000001E-9     0.7628112830844224
0.03                     0.065                    6.000000000000001E-9     0.7622914627057654
0.03                     0.075                    6.000000000000001E-9     0.764266884019662
0.03                     0.085                    6.000000000000001E-9     0.7658048317132832
0.03                     0.095                    6.000000000000001E-9     0.6723746566519732
0.03                     0.105                    4.0E-9                   0.5895535693133088
0.03                     0.115                    3.0000000000000004E-9    0.5918674830863486
0.03                     0.125                    4.0E-9                   0.601941739833982
0.03                     0.135                    4.500000000000001E-9     0.6294033070351756
0.03                     0.145                    4.500000000000001E-9     0.715375756778434
0.03                     0.155                    6.000000000000001E-9     0.7653342990258196
0.03                     0.165                    6.000000000000001E-9     0.7725082268142143
0.03                     0.175                    6.000000000000001E-9     0.7738837615897551
0.03                     0.185                    6.000000000000001E-9     0.7686929927625454
0.03                     0.195                    6.000000000000001E-9     0.7755514810598083
0.03                     0.205                    6.000000000000001E-9     0.7730989482819812
0.03                     0.215                    6.000000000000001E-9     0.7420980048809959
0.03                     0.225                    6.000000000000001E-9     0.7366004326727323
0.03                     0.235                    6.000000000000001E-9     0.6409526302678155
0.03                     0.245                    5.0E-9                   0.5399218342491987
0.04                     -0.245                   4.500000000000001E-9     0.4945888999006814
0.04                     -0.235                   4.500000000000001E-9     0.6502947668699971
0.04                     -0.225                   6.000000000000001E-9     0.7316655829713876
0.04                     -0.215                   6.000000000000001E-9     0.75041582731702
0.04                     -0.205                   6.000000000000001E-9     0.7778691638165185
0.04                     -0.195                   6.000000000000001E-9     0.7779797020781691
0.04                     -0.185                   6.000000000000001E-9     0.7715023355377116
0.04                     -0.175                   6.000000000000001E-9     0.7575872813707253
0.04                     -0.165                   6.000000000000001E-9     0.7689005014481293
0.04                     -0.155                   6.000000000000001E-9     0.7564760807368317
0.04                     -0.145                   4.500000000000001E-9     0.7368063043559613
0.04                     -0.135                   4.500000000000001E-9     0.6458920723228381
0.04                     -0.125                   3.5000000000000003E-9    0.6128782841835232
0.04                     -0.115                   3.0000000000000004E-9    0.5931290599009297
0.04                     -0.105                   2.0E-9                   0.5886543657788118
0.04                     -0.095                   6.000000000000001E-9     0.6336058705067862
0.04                     -0.085                   6.000000000000001E-9     0.7406930819183278
0.04                     -0.075                   6.000000000000001E-9     0.7641271000022768
0.04                     -0.065                   6.000000000000001E-9     0.7613562679233103
0.04                     -0.055                   6.000000000000001E-9     0.7587193695076825
0.04                     -0.045                   6.000000000000001E-9     0.7624492874343516
0.04                     -0.035                   6.000000000000001E-9     0.7627345084214336
0.04                     -0.025                   6.000000000000001E-9     0.6970102481127501
0.04                     -0.015                   6.000000000000001E-9     0.6444076753361023
0.04                     -0.005                   6.000000000000001E-9     0.6221778448805615
0.04                     0.005                    6.000000000000001E-9     0.6258310531937618
0.04                     0.015                    6.000000000000001E-9     0.6467775780509524
0.04                     0.025                    6.000000000000001E-9     0.6948893535726942
0.04                     0.035                    6.000000000000001E-9     0.7610649316374504
0.04                     0.045                    6.000000000000001E-9     0.7635779204724769
0.04                     0.055                    6.000000000000001E-9     0.7603435543424389
0.04                     0.065                    6.000000000000001E-9     0.7630756329299124
0.04                     0.075                    6.000000000000001E-9     0.7651536583026533
0.04                     0.085                    6.000000000000001E-9     0.7406942835172688
0.04                     0.095                    6.000000000000001E-9     0.6353157409015083
0.04                     0.105                    2.0E-9                   0.5886543888053487
0.04                     0.115                    3.0000000000000004E-9    0.590624213196838
0.04                     0.125                    3.5000000000000003E-9    0.6123187673252815
0.04                     0.135                    4.0E-9                   0.6381703070292203
0.04                     0.145                    6.000000000000001E-9     0.7462689031976081
0.04                     0.155                    6.000000000000001E-9     0.761750746554712
0.04                     0.165                    6.000000000000001E-9     0.7649986575698434
0.04                     0.175                    6.000000000000001E-9     0.7797287326067801
0.04                     0.185                    6.000000000000001E-9     0.7728827013774748
0.04                     0.195                    6.000000000000001E-9     0.7739300927131952
0.04                     0.205                    6.000000000000001E-9     0.7714922042863814
0.04                     0.215                    6.000000000000001E-9     0.7522137773200235
0.04                     0.225                    6.000000000000001E-9     0.7326857229588586
0.04                     0.235                    6.000000000000001E-9     0.6418524860390092
0.04                     0.245                    4.500000000000001E-9     0.4927195886057444
0.05                     -0.235                   4.500000000000001E-9     0.6485709848716098
0.05                     -0.225                   5.5000000000000004E-9    0.7110121718949015
0.05                     -0.215                   6.000000000000001E-9     0.7580901933780566
